city,state,place_name,category,mood,available_time_min,distance_km,visit_duration_min,preference_match,is_open,time_fit,distance_fit,suitability
Nashik,Maharashtra,Trimbakeshwar Temple,religious,relax,60,1.58,145,0.924,1,0,1,1
Hampi,Karnataka,Matanga Hill,nature,relax,60,4.34,115,0.299,1,0,1,0
Pune,Maharashtra,Pune Okayama Friendship Garden,garden,nature,480,7.45,75,0.937,1,1,1,1
Srinagar,Jammu and Kashmir,Dal Lake,lake,adventure,180,5.36,110,0.471,1,1,1,1
Kolkata,West Bengal,St. Paul's Cathedral,religious,relax,180,11.93,55,0.746,1,1,1,1
Agra,Uttar Pradesh,Itmad-ud-Daulah's Tomb,historic,culture,180,0.65,75,0.862,1,1,1,1
Nagpur,Maharashtra,Seminary Hill,nature,explore,300,3.77,60,0.444,1,1,1,1
Hyderabad,Telangana,Qutb Shahi Tombs,historic,culture,480,23.08,100,0.9,1,1,1,1
Nashik,Maharashtra,Anjaneri Hills,nature,food,120,2.56,170,0.163,1,0,1,0
Agra,Uttar Pradesh,Agra Fort,fort,food,30,0.76,110,0.132,1,0,1,0
Hyderabad,Telangana,Salar Jung Museum,museum,relax,60,0.56,125,0.191,1,0,1,0
Agra,Uttar Pradesh,Itmad-ud-Daulah's Tomb,historic,relax,120,6.45,75,0.202,1,1,1,1
Lucknow,Uttar Pradesh,Janeshwar Mishra Park,park,nature,480,14.52,95,0.905,1,1,1,1
Ahmedabad,Gujarat,Sabarmati Ashram,historic,relax,300,15.55,80,0.906,1,1,1,1
Hyderabad,Telangana,Hussain Sagar Lake,nature,culture,30,0.8,75,0.184,1,0,1,0
Ahmedabad,Gujarat,Kankaria Lake,nature,nature,120,4.34,100,0.795,1,1,1,1
Nagpur,Maharashtra,Satpuda Botanical Garden,garden,relax,120,3.62,50,0.804,1,1,1,1
Hampi,Karnataka,Virupaksha Temple,religious,food,60,1.42,110,0.362,1,0,1,0
Pune,Maharashtra,Aga Khan Palace,historic,food,30,2.64,85,0.176,0,0,1,0
Goa,Goa,Baga Beach,beach,explore,120,6.81,100,0.941,1,1,1,1
Nagpur,Maharashtra,Deekshabhoomi,monument,explore,120,3.3,50,0.37,0,1,1,0
Nashik,Maharashtra,Panchvati,historic,relax,60,0.46,75,0.328,1,0,1,0
Bengaluru,Karnataka,Lalbagh Botanical Garden,garden,food,480,10.07,90,0.134,1,1,1,0
Srinagar,Jammu and Kashmir,Mughal Gardens,garden,nature,180,8.47,95,0.838,1,1,1,1
Goa,Goa,Baga Beach,beach,nature,180,3.1,110,0.143,0,1,1,0
Gangtok,Sikkim,Rumtek Monastery,religious,relax,300,10.76,140,0.957,0,1,1,1
Hampi,Karnataka,Vittala Temple,historic,explore,300,16.72,125,0.756,1,1,1,1
Delhi,Delhi,Humayun's Tomb,historic,adventure,180,7.7,95,0.374,1,1,1,1
Mumbai,Maharashtra,Hanging Gardens,garden,relax,30,1.42,50,0.916,1,0,1,1
Bengaluru,Karnataka,Vidhana Soudha,monument,explore,30,1.48,50,0.936,1,0,1,1
Delhi,Delhi,Lotus Temple,religious,adventure,120,2.04,85,0.199,1,1,1,1
Amritsar,Punjab,Partition Museum,museum,nature,120,5.73,145,0.27,0,0,1,0
Bengaluru,Karnataka,Vidhana Soudha,monument,adventure,120,3.44,50,0.432,1,1,1,1
Hampi,Karnataka,Virupaksha Temple,religious,explore,300,7.46,105,0.918,1,1,1,1
Hampi,Karnataka,Vittala Temple,historic,explore,120,7.35,115,0.728,0,1,1,1
Nashik,Maharashtra,Saptashrungi Temple,religious,relax,180,10.76,120,0.234,1,1,1,1
Bengaluru,Karnataka,Cubbon Park,park,culture,180,8.38,65,0.445,1,1,1,1
Ahmedabad,Gujarat,Adalaj Stepwell,historic,adventure,180,9.3,80,0.169,0,1,1,0
Kolkata,West Bengal,Indian Museum,museum,explore,120,4.19,105,0.814,1,1,1,1
Pune,Maharashtra,Shaniwar Wada,historic,nature,60,3.48,60,0.525,1,1,1,1
Mysuru,Karnataka,Chamundi Hill,nature,culture,300,13.59,130,0.799,1,1,1,1
Lucknow,Uttar Pradesh,Janeshwar Mishra Park,park,explore,30,2.42,95,0.153,0,0,1,0
Bengaluru,Karnataka,Vidhana Soudha,monument,nature,60,4.96,40,0.157,1,1,1,1
Nashik,Maharashtra,Anjaneri Hills,nature,relax,30,1.99,190,0.22,1,0,1,0
Jaipur,Rajasthan,Jantar Mantar,museum,nature,180,2.11,95,0.278,1,1,1,1
Gangtok,Sikkim,Rumtek Monastery,religious,food,180,10.89,130,0.156,1,1,1,0
Delhi,Delhi,Lodhi Garden,garden,explore,120,2.13,85,0.38,1,1,1,1
Nashik,Maharashtra,Pandavleni Caves,historic,explore,480,15.52,130,0.979,1,1,1,1
Kolkata,West Bengal,Howrah Bridge,monument,relax,30,1.05,40,0.423,1,0,1,0
Gangtok,Sikkim,Tashi View Point,viewpoint,nature,30,2.65,55,0.724,1,0,1,1
Mysuru,Karnataka,Brindavan Gardens,garden,culture,300,11.04,100,0.127,1,1,1,0
Pune,Maharashtra,Shaniwar Wada,historic,nature,30,2.36,70,0.472,1,0,1,0
Pune,Maharashtra,Pune Okayama Friendship Garden,garden,adventure,120,3.55,65,0.471,1,1,1,1
Goa,Goa,Baga Beach,beach,explore,60,3.69,140,0.764,1,0,1,1
Lucknow,Uttar Pradesh,Janeshwar Mishra Park,park,culture,120,2.6,80,0.484,1,1,1,1
Srinagar,Jammu and Kashmir,Pari Mahal,historic,adventure,120,3.71,65,0.544,1,1,1,1
Bengaluru,Karnataka,Vidhana Soudha,monument,culture,180,5.94,45,0.755,1,1,1,1
Amritsar,Punjab,Jallianwala Bagh,historic,adventure,120,4.04,65,0.439,1,1,1,1
Varanasi,Uttar Pradesh,Dashashwamedh Ghat,religious,relax,30,0.57,85,0.953,1,0,1,1
Darjeeling,West Bengal,Padmaja Naidu Himalayan Zoological Park,nature,nature,60,0.71,140,0.775,1,0,1,1
Mumbai,Maharashtra,Elephanta Caves,historic,adventure,480,23.75,175,0.773,1,1,1,1
Darjeeling,West Bengal,Darjeeling Himalayan Railway,historic,food,60,1.51,130,0.316,1,0,1,0
Bengaluru,Karnataka,Vidhana Soudha,monument,relax,180,1.89,35,0.116,1,1,1,0
Varanasi,Uttar Pradesh,Assi Ghat,religious,explore,120,6.76,65,0.827,1,1,1,1
Goa,Goa,Basilica of Bom Jesus,religious,food,30,1.51,85,0.19,1,0,1,0
Ahmedabad,Gujarat,Kankaria Lake,nature,adventure,60,4.56,95,0.102,1,0,1,0
Nashik,Maharashtra,Nandur Madhameshwar Bird Sanctuary,nature,culture,120,3.99,190,0.195,1,0,1,0
Darjeeling,West Bengal,Padmaja Naidu Himalayan Zoological Park,nature,culture,480,3.28,165,0.496,1,1,1,1
Hyderabad,Telangana,Charminar,historic,nature,120,4.97,60,0.485,0,1,1,1
Pune,Maharashtra,Sinhagad Fort,fort,nature,120,5.33,200,0.831,1,0,1,1
Delhi,Delhi,Lotus Temple,religious,adventure,480,16.44,75,0.285,1,1,1,1
Nashik,Maharashtra,Panchvati,historic,relax,180,4.11,70,0.344,1,1,1,1
Mumbai,Maharashtra,Marine Drive,viewpoint,nature,60,1.27,50,0.844,1,1,1,1
Lucknow,Uttar Pradesh,Janeshwar Mishra Park,park,adventure,120,5.18,90,0.169,1,1,1,0
Udaipur,Rajasthan,Saheliyon-ki-Bari,garden,adventure,180,1.07,80,0.227,0,1,1,1
Hyderabad,Telangana,Salar Jung Museum,museum,explore,120,5.29,120,0.969,1,1,1,1
Chennai,Tamil Nadu,Kapaleeshwarar Temple,religious,explore,120,4.72,80,0.298,0,1,1,0
Ahmedabad,Gujarat,Adalaj Stepwell,historic,explore,120,2.5,75,0.804,0,1,1,1
Lucknow,Uttar Pradesh,Residency Lucknow,historic,culture,120,5.37,75,0.751,1,1,1,1
Goa,Goa,Dudhsagar Falls,nature,nature,30,0.99,275,0.756,1,0,1,1
Kolkata,West Bengal,Indian Museum,museum,food,180,7.55,135,0.159,0,1,1,0
Lucknow,Uttar Pradesh,Bara Imambara,historic,relax,300,13.44,115,0.325,1,1,1,1
Hampi,Karnataka,Vittala Temple,historic,culture,480,13.59,105,0.895,1,1,1,1
Nagpur,Maharashtra,Khindsi Lake,nature,food,300,3.24,90,0.119,0,1,1,0
Hampi,Karnataka,Matanga Hill,nature,culture,30,2.21,135,0.477,1,0,1,0
Delhi,Delhi,Red Fort,historic,explore,180,11.84,125,0.902,1,1,1,1
Ahmedabad,Gujarat,Sidi Saiyyed Mosque,religious,culture,30,2.83,65,0.857,1,0,1,1
Darjeeling,West Bengal,Tiger Hill,viewpoint,culture,300,19.21,140,0.517,1,1,1,1
Jaipur,Rajasthan,Nahargarh Fort,fort,adventure,480,34.69,110,0.893,1,1,1,1
Mumbai,Maharashtra,Chhatrapati Shivaji Maharaj Terminus,historic,adventure,30,0.49,60,0.313,1,0,1,0
Mumbai,Maharashtra,Gateway of India,historic,nature,60,3.8,75,0.156,1,0,1,0
Goa,Goa,Palolem Beach,beach,relax,180,3.13,140,0.949,1,1,1,1
Agra,Uttar Pradesh,Mehtab Bagh,garden,nature,180,11.71,65,0.908,1,1,1,1
Gangtok,Sikkim,Tashi View Point,viewpoint,adventure,30,0.89,60,0.181,1,0,1,0
Kolkata,West Bengal,Indian Museum,museum,nature,300,16.39,100,0.403,1,1,1,1
Mumbai,Maharashtra,Marine Drive,viewpoint,adventure,60,2.67,55,0.165,0,1,1,0
Kolkata,West Bengal,Indian Museum,museum,culture,300,1.09,140,0.948,1,1,1,1
Varanasi,Uttar Pradesh,Kashi Vishwanath Temple,religious,adventure,60,3.49,85,0.2,1,0,1,0
Nagpur,Maharashtra,Ambazari Lake,nature,food,60,2.75,60,0.155,1,1,1,0
Agra,Uttar Pradesh,Mehtab Bagh,garden,adventure,180,6.82,90,0.541,1,1,1,1
Nagpur,Maharashtra,Khindsi Lake,nature,adventure,60,2.87,100,0.162,1,0,1,0
Goa,Goa,Fort Aguada,fort,culture,300,3.36,120,0.785,1,1,1,1
Darjeeling,West Bengal,Happy Valley Tea Estate,nature,relax,30,0.41,95,0.744,1,0,1,1
Lucknow,Uttar Pradesh,Residency Lucknow,historic,explore,300,4.9,100,0.811,1,1,1,1
Varanasi,Uttar Pradesh,Assi Ghat,religious,food,120,3.74,80,0.366,1,1,1,1
Amritsar,Punjab,Partition Museum,museum,adventure,480,17.6,105,0.323,1,1,1,1
Jaipur,Rajasthan,Nahargarh Fort,fort,food,180,7.07,135,0.102,1,1,1,0
Kolkata,West Bengal,Maidan,park,adventure,60,0.67,80,0.148,1,0,1,0
Delhi,Delhi,Lodhi Garden,garden,adventure,30,2.73,75,0.374,1,0,1,0
Goa,Goa,Baga Beach,beach,relax,480,19.08,120,0.907,1,1,1,1
Delhi,Delhi,India Gate,monument,culture,60,4.44,70,0.749,1,0,1,1
Darjeeling,West Bengal,Darjeeling Himalayan Railway,historic,culture,120,4.66,155,0.825,0,0,1,0
Mumbai,Maharashtra,Gateway of India,historic,food,60,3.23,75,0.304,0,0,1,0
Chennai,Tamil Nadu,Marina Beach,beach,food,480,25.85,95,0.177,0,1,1,0
Ahmedabad,Gujarat,Adalaj Stepwell,historic,explore,300,4.22,80,0.92,1,1,1,1
Amritsar,Punjab,Sri Harmandir Sahib (Golden Temple),religious,culture,30,2.81,105,0.771,1,0,1,1
Kolkata,West Bengal,Victoria Memorial,historic,relax,180,1.63,135,0.445,1,1,1,1
Ahmedabad,Gujarat,Sabarmati Ashram,historic,nature,120,1.9,100,0.534,1,1,1,1
Mumbai,Maharashtra,Marine Drive,viewpoint,food,60,3.49,55,0.281,1,1,1,1
Agra,Uttar Pradesh,Itmad-ud-Daulah's Tomb,historic,culture,120,7.48,75,0.907,1,1,1,1
Delhi,Delhi,Lotus Temple,religious,food,60,1.07,75,0.305,1,0,1,0
Amritsar,Punjab,Jallianwala Bagh,historic,food,300,9.76,85,0.195,1,1,1,1
Darjeeling,West Bengal,Tiger Hill,viewpoint,food,60,2.86,100,0.265,1,0,1,0
Nashik,Maharashtra,Nandur Madhameshwar Bird Sanctuary,nature,food,300,3.97,195,0.207,0,1,1,0
Goa,Goa,Palolem Beach,beach,nature,180,3.82,175,0.753,1,1,1,1
Nashik,Maharashtra,Saptashrungi Temple,religious,food,30,0.72,145,0.245,1,0,1,0
Darjeeling,West Bengal,Padmaja Naidu Himalayan Zoological Park,nature,food,480,20.94,140,0.134,1,1,1,1
Pune,Maharashtra,Raja Dinkar Kelkar Museum,museum,culture,60,4.38,75,0.823,1,0,1,1
Ahmedabad,Gujarat,Sidi Saiyyed Mosque,religious,explore,120,2.85,60,0.819,1,1,1,1
Darjeeling,West Bengal,Happy Valley Tea Estate,nature,explore,480,31.12,80,0.768,1,1,1,1
Nagpur,Maharashtra,Ambazari Lake,nature,food,30,1.05,75,0.085,1,0,1,0
Varanasi,Uttar Pradesh,Dashashwamedh Ghat,religious,adventure,60,1.94,80,0.47,1,0,1,0
Udaipur,Rajasthan,Saheliyon-ki-Bari,garden,explore,60,3.83,65,0.162,1,0,1,0
Delhi,Delhi,India Gate,monument,explore,180,7.52,55,0.874,1,1,1,1
Hampi,Karnataka,Virupaksha Temple,religious,adventure,180,10.44,100,0.435,0,1,1,0
Ahmedabad,Gujarat,Adalaj Stepwell,historic,adventure,480,13.9,70,0.152,1,1,1,0
Delhi,Delhi,Red Fort,historic,adventure,480,1.61,110,0.397,1,1,1,0
Hyderabad,Telangana,Salar Jung Museum,museum,relax,480,33.21,130,0.234,1,1,1,1
Mumbai,Maharashtra,Gateway of India,historic,culture,120,0.73,80,0.782,1,1,1,1
Kolkata,West Bengal,Victoria Memorial,historic,culture,30,2.92,140,0.864,1,0,1,1
Ahmedabad,Gujarat,Lothal,historic,explore,480,16.63,130,0.766,1,1,1,1
Ahmedabad,Gujarat,Sidi Saiyyed Mosque,religious,adventure,180,5.61,55,0.476,1,1,1,1
Varanasi,Uttar Pradesh,Kashi Vishwanath Temple,religious,food,300,14.19,85,0.26,1,1,1,0
Hampi,Karnataka,Matanga Hill,nature,explore,300,11.0,135,0.887,1,1,1,1
Lucknow,Uttar Pradesh,Janeshwar Mishra Park,park,explore,180,11.18,80,0.331,1,1,1,1
Nashik,Maharashtra,Nandur Madhameshwar Bird Sanctuary,nature,relax,30,0.63,215,0.773,1,0,1,1
Kolkata,West Bengal,St. Paul's Cathedral,religious,food,480,5.53,70,0.074,1,1,1,0
Jaipur,Rajasthan,Amber Fort,fort,explore,30,0.46,135,0.731,1,0,1,1
Srinagar,Jammu and Kashmir,Dal Lake,lake,food,60,1.87,135,0.382,1,0,1,0
Srinagar,Jammu and Kashmir,Shankaracharya Temple,religious,adventure,30,2.96,140,0.783,1,0,1,1
Nashik,Maharashtra,Panchvati,historic,adventure,30,2.34,75,0.517,1,0,1,0
Mumbai,Maharashtra,Juhu Beach,beach,food,120,2.98,105,0.135,0,1,1,0
Delhi,Delhi,Qutub Minar,historic,explore,30,1.88,105,0.904,1,0,1,1
Pune,Maharashtra,Sarasbaug,park,adventure,120,1.87,55,0.273,1,1,1,0
Nagpur,Maharashtra,Ambazari Lake,nature,food,120,6.38,60,0.348,1,1,1,0
Jaipur,Rajasthan,Nahargarh Fort,fort,food,120,6.27,100,0.38,0,1,1,0
Hyderabad,Telangana,Salar Jung Museum,museum,nature,30,1.81,120,0.211,1,0,1,0
Mysuru,Karnataka,Mysore Palace,historic,food,120,3.92,100,0.337,1,1,1,1
Amritsar,Punjab,Partition Museum,museum,food,30,2.1,95,0.183,1,0,1,0
Nashik,Maharashtra,Saptashrungi Temple,religious,food,120,2.05,135,0.19,1,0,1,0
Agra,Uttar Pradesh,Agra Fort,fort,relax,120,5.16,135,0.433,1,0,1,0
Kolkata,West Bengal,Indian Museum,museum,culture,120,5.59,100,0.733,0,1,1,1
Pune,Maharashtra,Sinhagad Fort,fort,relax,30,2.65,210,0.257,0,0,1,0
Jaipur,Rajasthan,Hawa Mahal,historic,explore,300,10.87,70,0.915,1,1,1,1
Goa,Goa,Baga Beach,beach,culture,30,1.59,100,0.148,1,0,1,0
Agra,Uttar Pradesh,Itmad-ud-Daulah's Tomb,historic,culture,480,11.65,70,0.833,1,1,1,1
Chennai,Tamil Nadu,Marina Beach,beach,adventure,60,3.61,100,0.173,1,0,1,0
Varanasi,Uttar Pradesh,Dashashwamedh Ghat,religious,relax,120,5.6,100,0.94,1,1,1,1
Agra,Uttar Pradesh,Taj Mahal,historic,relax,120,3.81,130,0.752,1,0,1,1
Mumbai,Maharashtra,Juhu Beach,beach,food,180,10.62,80,0.121,1,1,1,0
Darjeeling,West Bengal,Tiger Hill,viewpoint,relax,60,3.41,105,0.195,1,0,1,0
Jaipur,Rajasthan,Nahargarh Fort,fort,culture,180,5.84,130,0.442,1,1,1,1
Bengaluru,Karnataka,Vidhana Soudha,monument,nature,480,24.41,50,0.45,1,1,1,1
Delhi,Delhi,Red Fort,historic,nature,60,1.66,135,0.172,1,0,1,0
Darjeeling,West Bengal,Happy Valley Tea Estate,nature,adventure,120,0.44,75,0.54,1,1,1,1
Mysuru,Karnataka,Mysore Palace,historic,relax,30,2.24,110,0.31,1,0,1,0
Ahmedabad,Gujarat,Sidi Saiyyed Mosque,religious,food,30,2.59,65,0.151,0,0,1,0
Pune,Maharashtra,Pune Okayama Friendship Garden,garden,nature,300,19.81,75,0.886,1,1,1,1
Jaipur,Rajasthan,Hawa Mahal,historic,culture,300,1.74,70,0.928,1,1,1,1
Goa,Goa,Dudhsagar Falls,nature,adventure,300,2.2,210,0.726,1,1,1,1
Delhi,Delhi,Red Fort,historic,food,120,3.84,135,0.305,1,0,1,0
Nagpur,Maharashtra,Deekshabhoomi,monument,nature,180,3.19,60,0.195,1,1,1,1
Nashik,Maharashtra,Nandur Madhameshwar Bird Sanctuary,nature,culture,300,15.58,185,0.15,0,1,1,0
Darjeeling,West Bengal,Tiger Hill,viewpoint,explore,480,34.15,95,0.954,1,1,1,1
Agra,Uttar Pradesh,Mehtab Bagh,garden,culture,480,26.07,80,0.506,1,1,1,1
Ahmedabad,Gujarat,Sidi Saiyyed Mosque,religious,adventure,300,10.75,70,0.203,1,1,1,0
Kolkata,West Bengal,Victoria Memorial,historic,culture,60,1.4,105,0.97,1,0,1,1
Gangtok,Sikkim,Rumtek Monastery,religious,relax,60,0.8,135,0.826,1,0,1,1
Hyderabad,Telangana,Charminar,historic,relax,180,10.01,65,0.254,1,1,1,1
Hyderabad,Telangana,Charminar,historic,nature,480,3.15,70,0.49,1,1,1,1
Mumbai,Maharashtra,Hanging Gardens,garden,food,180,2.55,60,0.086,1,1,1,0
Darjeeling,West Bengal,Darjeeling Himalayan Railway,historic,explore,480,8.41,160,0.862,1,1,1,1
Jaipur,Rajasthan,Jal Mahal,viewpoint,relax,300,19.28,50,0.869,1,1,1,1
Nashik,Maharashtra,Pandavleni Caves,historic,culture,480,20.86,110,0.836,1,1,1,1
Nagpur,Maharashtra,Ambazari Lake,nature,explore,480,5.85,65,0.326,1,1,1,1
Kolkata,West Bengal,Victoria Memorial,historic,adventure,480,19.97,135,0.402,1,1,1,1
Goa,Goa,Palolem Beach,beach,relax,480,16.03,140,0.973,1,1,1,1
Mumbai,Maharashtra,Elephanta Caves,historic,culture,30,0.56,145,0.754,1,0,1,1
Amritsar,Punjab,Sri Harmandir Sahib (Golden Temple),religious,explore,300,11.28,140,0.286,1,1,1,1
Nagpur,Maharashtra,Ambazari Lake,nature,nature,30,1.49,65,0.833,1,0,1,1
Nashik,Maharashtra,Pandavleni Caves,historic,relax,180,4.65,120,0.308,1,1,1,1
Udaipur,Rajasthan,City Palace Udaipur,historic,explore,120,3.7,135,0.88,1,0,1,1
Jaipur,Rajasthan,Amber Fort,fort,adventure,120,6.08,140,0.866,1,0,1,1
Nagpur,Maharashtra,Khindsi Lake,nature,relax,180,5.4,85,0.831,1,1,1,1
Ahmedabad,Gujarat,Sidi Saiyyed Mosque,religious,adventure,480,5.0,65,0.259,1,1,1,0
Agra,Uttar Pradesh,Akbar's Tomb,historic,explore,480,15.15,80,0.95,1,1,1,1
Goa,Goa,Palolem Beach,beach,explore,120,5.35,165,0.123,1,0,1,0
Udaipur,Rajasthan,Jagdish Temple,religious,food,120,1.7,55,0.384,1,1,1,1
Mumbai,Maharashtra,Gateway of India,historic,food,180,9.62,105,0.139,1,1,1,0
Udaipur,Rajasthan,Saheliyon-ki-Bari,garden,relax,30,1.65,60,0.935,0,0,1,1
Kolkata,West Bengal,Maidan,park,culture,300,19.73,75,0.204,1,1,1,1
Srinagar,Jammu and Kashmir,Shankaracharya Temple,religious,relax,180,11.44,95,0.185,1,1,1,1
Agra,Uttar Pradesh,Agra Fort,fort,adventure,480,33.39,145,0.267,1,1,1,1
Mumbai,Maharashtra,Elephanta Caves,historic,explore,180,11.08,140,0.733,1,1,1,1
Nashik,Maharashtra,Panchvati,historic,adventure,300,9.65,75,0.325,1,1,1,1
Kolkata,West Bengal,Howrah Bridge,monument,adventure,120,1.6,45,0.515,1,1,1,1
Delhi,Delhi,India Gate,monument,nature,300,3.93,65,0.171,1,1,1,0
Goa,Goa,Fort Aguada,fort,explore,480,13.73,140,0.963,1,1,1,1
Kolkata,West Bengal,Howrah Bridge,monument,culture,120,2.99,50,0.732,1,1,1,1
Srinagar,Jammu and Kashmir,Pari Mahal,historic,nature,180,9.44,80,0.249,0,1,1,0
Chennai,Tamil Nadu,Government Museum Chennai,museum,adventure,180,8.5,135,0.454,1,1,1,1
Goa,Goa,Palolem Beach,beach,food,180,8.97,145,0.1,1,1,1,1
Pune,Maharashtra,Aga Khan Palace,historic,nature,480,11.53,100,0.461,1,1,1,1
Nagpur,Maharashtra,Satpuda Botanical Garden,garden,culture,120,2.48,65,0.239,1,1,1,0
Nagpur,Maharashtra,Ramtek Fort Temple,fort,explore,30,0.8,105,0.493,1,0,1,0
Nashik,Maharashtra,Saptashrungi Temple,religious,explore,180,4.87,170,0.134,1,1,1,0
Nashik,Maharashtra,Nandur Madhameshwar Bird Sanctuary,nature,relax,480,34.98,145,0.762,1,1,1,1
Udaipur,Rajasthan,Lake Pichola,lake,explore,480,34.29,85,0.783,1,1,1,1
Lucknow,Uttar Pradesh,Chota Imambara,historic,food,300,16.28,85,0.361,1,1,1,1
Delhi,Delhi,Lodhi Garden,garden,culture,60,2.31,80,0.43,1,0,1,0
Delhi,Delhi,Humayun's Tomb,historic,culture,30,2.51,105,0.957,1,0,1,1
Srinagar,Jammu and Kashmir,Pari Mahal,historic,nature,30,1.47,70,0.462,1,0,1,0
Bengaluru,Karnataka,Vidhana Soudha,monument,relax,30,1.25,35,0.116,1,0,1,0
Nagpur,Maharashtra,Ramtek Fort Temple,fort,culture,60,1.68,140,0.951,1,0,1,1
Delhi,Delhi,Red Fort,historic,relax,480,0.46,130,0.213,1,1,1,1
Nashik,Maharashtra,Anjaneri Hills,nature,culture,60,3.67,215,0.405,0,0,1,0
Hyderabad,Telangana,Charminar,historic,adventure,60,0.72,70,0.301,1,0,1,0
Pune,Maharashtra,Aga Khan Palace,historic,relax,180,9.38,75,0.276,1,1,1,0
Lucknow,Uttar Pradesh,Bara Imambara,historic,nature,180,6.23,100,0.226,1,1,1,1
Mumbai,Maharashtra,Juhu Beach,beach,culture,30,0.53,95,0.233,1,0,1,0
Hyderabad,Telangana,Qutb Shahi Tombs,historic,explore,30,2.91,95,0.195,1,0,1,0
Bengaluru,Karnataka,Bangalore Palace,historic,relax,480,8.38,75,0.527,0,1,1,0
Darjeeling,West Bengal,Padmaja Naidu Himalayan Zoological Park,nature,culture,300,4.83,165,0.231,1,1,1,1
Goa,Goa,Basilica of Bom Jesus,religious,nature,300,14.16,70,0.11,1,1,1,0
Delhi,Delhi,Red Fort,historic,adventure,60,0.98,100,0.288,1,0,1,0
Hyderabad,Telangana,Charminar,historic,explore,120,0.5,75,0.939,1,1,1,1
Nashik,Maharashtra,Saptashrungi Temple,religious,nature,60,0.55,135,0.426,1,0,1,0
Mysuru,Karnataka,Mysuru Zoo,nature,adventure,180,10.96,210,0.236,1,0,1,0
Jaipur,Rajasthan,City Palace,historic,adventure,300,3.3,95,0.326,1,1,1,1
Kolkata,West Bengal,St. Paul's Cathedral,religious,adventure,120,4.79,70,0.143,1,1,1,0
Chennai,Tamil Nadu,Marina Beach,beach,culture,300,18.18,85,0.46,1,1,1,1
Nashik,Maharashtra,Nandur Madhameshwar Bird Sanctuary,nature,food,480,28.63,195,0.354,1,1,1,1
Chennai,Tamil Nadu,Government Museum Chennai,museum,adventure,30,2.18,105,0.129,1,0,1,0
Darjeeling,West Bengal,Happy Valley Tea Estate,nature,food,480,16.52,90,0.113,1,1,1,1
Ahmedabad,Gujarat,Sidi Saiyyed Mosque,religious,culture,480,15.92,55,0.942,0,1,1,1
Hyderabad,Telangana,Golconda Fort,fort,food,120,0.45,165,0.393,1,0,1,0
Nagpur,Maharashtra,Deekshabhoomi,monument,culture,300,15.24,70,0.956,1,1,1,1
Nashik,Maharashtra,Anjaneri Hills,nature,adventure,60,4.62,190,0.961,1,0,1,1
Gangtok,Sikkim,Rumtek Monastery,religious,food,120,4.72,140,0.277,1,0,1,0
Hyderabad,Telangana,Salar Jung Museum,museum,relax,120,1.45,115,0.41,1,1,1,1
Bengaluru,Karnataka,Vidhana Soudha,monument,explore,60,1.64,40,0.822,1,1,1,1
Chennai,Tamil Nadu,Fort St George,historic,nature,30,1.23,105,0.185,1,0,1,0
Mumbai,Maharashtra,Gateway of India,historic,explore,30,2.56,100,0.78,1,0,1,1
Chennai,Tamil Nadu,Government Museum Chennai,museum,relax,480,4.19,120,0.413,0,1,1,0
Delhi,Delhi,Red Fort,historic,culture,180,4.18,110,0.889,0,1,1,1
Darjeeling,West Bengal,Tiger Hill,viewpoint,nature,180,1.7,125,0.933,1,1,1,1
Nagpur,Maharashtra,Khindsi Lake,nature,relax,30,1.11,75,0.774,1,0,1,1
Jaipur,Rajasthan,Jantar Mantar,museum,explore,60,2.74,75,0.846,1,0,1,1
Hampi,Karnataka,Hampi Bazaar,historic,culture,480,31.66,75,0.914,1,1,1,1
Srinagar,Jammu and Kashmir,Mughal Gardens,garden,nature,300,9.58,105,0.74,1,1,1,1
Darjeeling,West Bengal,Tiger Hill,viewpoint,nature,60,4.29,130,0.854,0,0,1,0
Varanasi,Uttar Pradesh,Sarnath,historic,adventure,480,2.82,130,0.38,1,1,1,1
Amritsar,Punjab,Wagah Border,monument,explore,480,27.87,180,0.743,1,1,1,1
Jaipur,Rajasthan,City Palace,historic,explore,480,11.72,100,0.975,1,1,1,1
Hyderabad,Telangana,Golconda Fort,fort,explore,60,3.25,170,0.878,1,0,1,1
Hyderabad,Telangana,Charminar,historic,nature,30,0.79,80,0.311,1,0,1,0
Ahmedabad,Gujarat,Sabarmati Ashram,historic,relax,480,6.49,95,0.912,1,1,1,1
Ahmedabad,Gujarat,Kankaria Lake,nature,food,30,0.51,105,0.385,1,0,1,0
Bengaluru,Karnataka,Bannerghatta Biological Park,nature,nature,30,2.74,200,0.81,1,0,1,1
Goa,Goa,Palolem Beach,beach,culture,60,2.39,135,0.292,0,0,1,0
Chennai,Tamil Nadu,Government Museum Chennai,museum,food,30,1.1,130,0.316,1,0,1,0
Lucknow,Uttar Pradesh,Residency Lucknow,historic,adventure,180,1.0,95,0.417,1,1,1,1
Ahmedabad,Gujarat,Sabarmati Ashram,historic,nature,300,1.32,90,0.454,1,1,1,1
Ahmedabad,Gujarat,Sabarmati Ashram,historic,nature,480,23.06,95,0.229,1,1,1,1
Darjeeling,West Bengal,Darjeeling Himalayan Railway,historic,explore,120,4.72,140,0.805,0,0,1,0
Udaipur,Rajasthan,Lake Pichola,lake,food,120,7.41,80,0.343,1,1,1,1
